trip,tab,section,subsection,vendor,amount_usd,spent_on
Post Grad Trip,Europe,Flight/travel,Public Transport,Airport train,25.0,2025-05-13
Post Grad Trip,Europe,Flight/travel,Public Transport,London Tube,8.0,2025-05-14
Post Grad Trip,Europe,Flight/travel,Public Transport,London Tube,8.0,2025-05-16
Post Grad Trip,Europe,Flight/travel,Public Transport,Paris Uber,15.0,2025-05-17
Post Grad Trip,Europe,Flight/travel,Public Transport,Milan Metro,5.0,2025-05-24
Post Grad Trip,Europe,Flight/travel,Public Transport,Milan Metro,20.0,2025-05-25
Post Grad Trip,Europe,Flight/travel,Public Transport,Venice Pass,40.0,2025-05-27
Post Grad Trip,Europe,Flight/travel,Public Transport,Sorrento Ferry,22.0,2025-06-01
Post Grad Trip,Europe,Flight/travel,Public Transport,Naples Ferry,21.0,2025-06-05
Post Grad Trip,Europe,Flight/travel,Public Transport,Flight to Barcelona,132.0,2025-06-05
Post Grad Trip,Europe,Flight/travel,Public Transport,Barcelona Bus,10.0,2025-06-05
Post Grad Trip,Europe,Flight/travel,Public Transport,Barcelona Metro,20.0,2025-06-06
Post Grad Trip,Europe,Flight/travel,Public Transport,Barcelona bus,9.0,2025-06-07
Post Grad Trip,Europe,Flight/travel,Public Transport,Flight to Paris,132.0,2025-06-08
Post Grad Trip,Europe,Flight/travel,Public Transport,Paris bus,17.0,2025-06-08
Post Grad Trip,Europe,Flight/travel,Public Transport,London Tube,45.0,2025-06-09
Post Grad Trip,Europe,Other,,The Louvre,74.0,2025-05-15
Post Grad Trip,Europe,Other,,Seine Boat Cruise,19.0,2025-05-17
Post Grad Trip,Europe,Other,,Amsterdam Cruise,34.0,2025-05-19
Post Grad Trip,Europe,Other,,Harder Kulm Trip,23.0,2025-05-23
Post Grad Trip,Europe,Other,,Duomo,29.0,2025-05-26
Post Grad Trip,Europe,Other,,DOGE Palace,17.0,2025-05-28
Post Grad Trip,Europe,Other,,Pantheon,6.0,2025-05-30
Post Grad Trip,Europe,Other,,Colosseum,78.0,2025-05-30
Post Grad Trip,Europe,Other,,Vatican Museum,51.0,2025-05-31
Post Grad Trip,Europe,Other,,Basílica Sagrada Familia,77.0,2025-06-06
Pre Job Trip,Scandinavia,Alc,,Southern Cross Pub,20.0,2025-09-28
Pre Job Trip,Scandinavia,Alc,,Convenient store beer,7.0,2025-09-28
Pre Job Trip,Scandinavia,Alc,,Convenient store beer,3.0,2025-09-29
Pre Job Trip,Scandinavia,Alc,,Steel house Copenhagen,20.0,2025-09-29
Pre Job Trip,Scandinavia,Alc,,Steel house Copenhagen,36.0,2025-10-07
Pre Job Trip,Scandinavia,Alc,,Proud Mary,21.0,2025-09-29
Pre Job Trip,Scandinavia,Alc,,Proud Mary,64.0,2025-09-30
Pre Job Trip,Scandinavia,Alc,,Proud Mary,22.0,2025-10-07
Pre Job Trip,Scandinavia,Alc,,Husband daycare,21.0,2025-09-29
Pre Job Trip,Scandinavia,Alc,,Italian + Dubliner,48.0,2025-09-29
Pre Job Trip,Scandinavia,Alc,,Anchor Pub + Kelly's,54.0,2025-10-02
Pre Job Trip,Scandinavia,Alc,,Old Irish pub,27.0,2025-10-04
Pre Job Trip,Scandinavia,Alc,,Young's club,77.0,2025-10-04
Pre Job Trip,Scandinavia,Food,,Chilis,45.0,2025-09-27
Pre Job Trip,Scandinavia,Food,,Social Brew,12.0,2025-09-28
Pre Job Trip,Scandinavia,Food,,DOP Glizzy,9.0,2025-09-28
Pre Job Trip,Scandinavia,Food,,Doner Pizza place,16.0,2025-09-28
Pre Job Trip,Scandinavia,Food,,McDonald's,5.0,2025-09-28
Pre Job Trip,Scandinavia,Food,,McDonald's,13.0,2025-10-01
Pre Job Trip,Scandinavia,Food,,Strangers Gyro,17.0,2025-09-29
Pre Job Trip,Scandinavia,Food,,Dono Kebab,11.0,2025-09-29
Pre Job Trip,Scandinavia,Food,,Dono Kebab,11.0,2025-10-07
Pre Job Trip,Scandinavia,Food,,Burger King,11.0,2025-09-30
Pre Job Trip,Scandinavia,Food,,Burger King,10.0,2025-10-04
Pre Job Trip,Scandinavia,Food,,Brunch cafe,72.0,2025-10-01
Pre Job Trip,Scandinavia,Food,,Vending machine,10.0,2025-10-01
Pre Job Trip,Scandinavia,Food,,Gasoline Grill,26.0,2025-10-01
Pre Job Trip,Scandinavia,Food,,Taco Bar,15.0,2025-10-02
Pre Job Trip,Scandinavia,Food,,Max burger,13.0,2025-10-02
Pre Job Trip,Scandinavia,Food,,Max burger,10.0,2025-10-05
Pre Job Trip,Scandinavia,Food,,Max burger,22.0,2025-10-05
Pre Job Trip,Scandinavia,Food,,Presbryian,9.0,2025-10-03
Pre Job Trip,Scandinavia,Food,,Palet food court,47.0,2025-10-04
Pre Job Trip,Scandinavia,Food,,Fly Chicken,21.0,2025-10-04
Pre Job Trip,Scandinavia,Food,,Tryvannstua Sportsstue,6.0,2025-10-05
Pre Job Trip,Scandinavia,Food,,Jettz Burger,21.0,2025-10-05
Pre Job Trip,Scandinavia,Food,,Fram Museum,4.0,2025-10-06
Pre Job Trip,Scandinavia,Food,,Los Tacos,24.0,2025-10-06
Pre Job Trip,Scandinavia,Food,,7 eleven,6.0,2025-10-06
Pre Job Trip,Scandinavia,Food,,Airport,16.0,2025-10-07
Pre Job Trip,Scandinavia,Food,,Espresso house,10.0,2025-10-07
Pre Job Trip,Scandinavia,Food,,Tivoli food hall,23.0,2025-10-07
Pre Job Trip,Scandinavia,Flight/travel,Flights,Copenhagen Roundtrip,630.0,2025-09-27
Pre Job Trip,Scandinavia,Flight/travel,Flights,Copenhagen - Stockholm,65.0,2025-10-01
Pre Job Trip,Scandinavia,Flight/travel,Flights,Stockholm - Oslo,52.0,2025-10-04
Pre Job Trip,Scandinavia,Flight/travel,Flights,Oslo - Copenhagen,56.0,2025-10-07
Pre Job Trip,Scandinavia,Flight/travel,Flights,Oops Stockholm-Oslo,280.0,2025-10-04
Pre Job Trip,Scandinavia,Flight/travel,Lodging,Copenhagen Hostel,75.0,2025-09-28
Pre Job Trip,Scandinavia,Flight/travel,Lodging,Stockholm Hostel,77.0,2025-10-01
Pre Job Trip,Scandinavia,Flight/travel,Lodging,Olso Hostel,147.0,2025-10-04
Pre Job Trip,Scandinavia,Flight/travel,E-vehicle,Lime,35.0,2025-09-28
Pre Job Trip,Scandinavia,Flight/travel,Public Transport,Copenhagen Metro,10.0,2025-09-28
Pre Job Trip,Scandinavia,Flight/travel,Public Transport,Copenhagen Metro,10.0,2025-10-01
Pre Job Trip,Scandinavia,Flight/travel,Public Transport,Arlanda Express,17.0,2025-10-01
Pre Job Trip,Scandinavia,Flight/travel,Public Transport,Arlanda Express,34.0,2025-10-03
Pre Job Trip,Scandinavia,Flight/travel,Public Transport,Swedish travel pass,45.0,2025-10-01
Pre Job Trip,Scandinavia,Flight/travel,Public Transport,Oslo Travel Pass,74.0,2025-10-04
Pre Job Trip,Scandinavia,Flight/travel,Public Transport,Oslo Travel Pass,23.0,2025-10-07
Pre Job Trip,Scandinavia,Other,,Snus,8.0,2025-09-28
Pre Job Trip,Scandinavia,Other,,Snus,17.0,2025-10-02
Pre Job Trip,Scandinavia,Other,,Snus,18.0,2025-10-07
Pre Job Trip,Scandinavia,Other,,Gym,8.0,2025-09-29
Pre Job Trip,Scandinavia,Other,,Church of out savior,17.0,2025-09-29
Pre Job Trip,Scandinavia,Other,,Round Tower,13.0,2025-09-29
Pre Job Trip,Scandinavia,Other,,Day locker,6.0,2025-10-01
Pre Job Trip,Scandinavia,Other,,Day locker,10.0,2025-10-07
Pre Job Trip,Scandinavia,Other,,CentralBadet Spa,127.0,2025-10-02
Pre Job Trip,Scandinavia,Other,,Vasa Museum,42.0,2025-10-03
Pre Job Trip,Scandinavia,Other,,Fram Museum,14.0,2025-10-06
Pre Job Trip,Scandinavia,Other,,Floating Sauna,52.0,2025-10-06
Pre Job Trip,Scandinavia,Other,,Tivola garden,60.0,2025-10-07
